locus_id	locus_coord	chrom	start	end	strand	n_exons	length_nt	exon_structure	nearest_gene_name	nearest_distance_bp	control_max_tpm	treat_median_tpm	treat_n_detected	junction_support	de_status	coding_label	longest_orf_aa	coding_score	named_overlap
RSDL.12	chr12:114348178-114355289:+	chr12	114348178	114355289	+	2	339	114348178-114348355,114355129-114355289	Gm53771	11251	2.703283	1.4375559999999998	4	5		coding	32	0.402193	none
RSDL.17	chr12:114907523-114907908:+	chr12	114907523	114907908	+	2	293	114907523-114907713,114907807-114907908	Gm9227	231586	1.000252	0.4556435	2	4		noncoding	31	-0.170114	none
RSDL.2	chr15:38474009-38478341:+	chr15	38474009	38478341	+	4	1359	38474009-38474464,38474947-38475122,38475653-38475734,38477697-38478341	Gm49077	40688	3.146868	2.777545	4	2,3,5		coding	46	0.152623	none
RSDL.21	chr8:129342636-129349351:-	chr8	129342636	129349351	-	2	372	129342636-129342815,129349160-129349351	Gm64234	25730	1.860434	0.9511505	2	4		noncoding	64	-0.021197	none
RSDL.23	chrX:134880835-134881588:+	chrX	134880835	134881588	+	2	537	134880835-134881014,134881232-134881588	Gm15016	7707	3.274569	2.150558	3	4		noncoding	51	-0.094274	none
RSDL.27	chr8:85010321-85011649:-	chr8	85010321	85011649	-	2	480	85010321-85010584,85011434-85011649	Yju2b	13277	1.909194	0.989361	3	3		noncoding	34	-0.006342	none
RSDL.28	chr1:155360777-155362137:-	chr1	155360777	155362137	-	2	215	155360777-155360908,155362055-155362137	Gm5532	19860	1.420795	2.042538	3	3		noncoding	54	-0.136011	none
RSDL.3	chr15:13433526-13442734:-	chr15	13433526	13442734	-	2	287	13433526-13433624,13442547-13442734	Gm8238	14583	8.51487	3.214604	4	6		coding	50	0.358976	none
RSDL.33	chr15:60843284-60844107:+	chr15	60843284	60844107	+	2	425	60843284-60843636,60844036-60844107	4930402D18Rik	16114	1.628427	0.307333	2	3		noncoding	26	-0.185314	none
RSDL.34	chr16:45028532-45030684:-	chr16	45028532	45030684	-	2	597	45028532-45028923,45030480-45030684	Gm60499	34234	1.451765	1.2330424999999998	3	3		coding	68	0.010499	none
RSDL.35	chr17:14772411-14815564:-	chr17	14772411	14815564	-	2	322	14772411-14772649,14815482-14815564	Gm65682	29184	6.280462	0.949199	3	3		noncoding	31	-0.061694	none
RSDL.38	chr2:144186179-144187527:+	chr2	144186179	144187527	+	2	1187	144186179-144186297,144186460-144187527	Gm11700	10309	3.789831	2.5838485	4	3		noncoding	171	-0.068616	none
RSDL.39	chr2:152933770-152934332:-	chr2	152933770	152934332	-	2	189	152933770-152933919,152934294-152934332	Gm74550	7650	3.057156	0.9107855	2	3		noncoding	20	-0.272665	none
RSDL.40	chr2:157245001-157249068:+	chr2	157245001	157249068	+	2	335	157245001-157245277,157249011-157249068	Manbal	3275	1.724784	5.29853	4	3		coding	16	0.454956	none
RSDL.41	chr3:87122701-87124553:-	chr3	87122701	87124553	-	2	814	87122701-87122905,87123945-87124553	Gm10705	7388	5.040584	4.149725500000001	4	3		noncoding	61	-0.090077	none
RSDL.42	chr6:22521529-22523139:+	chr6	22521529	22523139	+	2	594	22521529-22522015,22523033-22523139	Gm67965	81249	19.242228	12.621993	4	3		noncoding	37	-0.341506	none
RSDL.44	chr6:91624822-91627051:+	chr6	91624822	91627051	+	2	328	91624822-91625047,91626950-91627051	Slc6a6	33521	2.680554	1.203465	3	3		coding	59	0.015527	none
RSDL.48	chr1:10385123-10393630:+	chr1	10385123	10393630	+	2	3381	10385123-10386503,10391631-10393630	Gm70170	78792	57.826982	29.0932765	4	2		noncoding	234	-0.254779	none
RSDL.49	chr1:45064663-45068120:+	chr1	45064663	45068120	+	2	1488	45064663-45064812,45066783-45068120	Gm5268	149106	4.659698	4.8101605	4	2		noncoding	108	-0.022093	none
RSDL.58	chr12:103465626-103469675:+	chr12	103465626	103469675	+	2	531	103465626-103465877,103469397-103469675	Gm47267	12580	2.60671	1.475372	4	2		noncoding	37	-0.493535	none
