locus_id	locus_coord	chrom	start	end	strand	n_exons	length_nt	exon_structure	nearest_gene_name	nearest_distance_bp	control_max_tpm	treat_median_tpm	treat_n_detected	junction_support	de_status	coding_label	longest_orf_aa	coding_score	named_overlap
RSDL.15	chr16:91760738-91761524:-	chr16	91760738	91761524	-	2	504	91760738-91761034,91761318-91761524	Gm60892	16199	0.0	1.3015265	3	4	low_count	coding	54	0.261263	none
RSDL.19	chr4:47081200-47086722:+	chr4	47081200	47086722	+	2	1333	47081200-47081735,47085926-47086722	Galnt12	5182	0.916642	1.734158	4	4	low_count	noncoding	77	-0.09211	none
RSDL.22	chr9:79344291-79349547:-	chr9	79344291	79349547	-	2	301	79344291-79344401,79349358-79349547	Gm10635	1679	0.0	0.8678835	2	4	low_count	noncoding	19	-0.332631	none
RSDL.25	chr2:57754655-57755523:-	chr2	57754655	57755523	-	2	280	57754655-57754757,57755347-57755523	Gm74570	31343	0.0	0.943286	3	3	low_count	noncoding	41	-0.163233	none
RSDL.31	chr11:118262483-118265065:-	chr11	118262483	118265065	-	2	842	118262483-118262838,118264580-118265065	Lgals3bp	15650	0.362792	0.7373335000000001	3	3	low_count	coding	60	0.141191	none
RSDL.4	chr4:133241212-133245586:-	chr4	133241212	133245586	-	3	295	133241212-133241363,133243648-133243703,133245500-133245586	Nudc	13494	0.993471	0.8855355	2	4,3	low_count	coding	43	0.036462	none
RSDL.46	chr7:141376282-141377381:-	chr7	141376282	141377381	-	2	341	141376282-141376505,141377265-141377381	Tollip	51168	0.0	0.5188095	2	3	low_count	coding	67	0.132293	none
RSDL.47	chr8:122194578-122195251:+	chr8	122194578	122195251	+	2	458	122194578-122194758,122194975-122195251	Gm63857	14800	0.0	0.6777675	3	3	low_count	coding	55	0.076857	none
RSDL.51	chr10:104763259-104763900:+	chr10	104763259	104763900	+	2	244	104763259-104763295,104763694-104763900	Gm25587	112233	0.0	0.5353135	2	2	low_count	coding	66	0.378217	none
RSDL.52	chr10:108134177-108134820:+	chr10	108134177	108134820	+	2	539	108134177-108134597,108134703-108134820	Ppp1r12a	13840	0.642005	0.980037	3	2	low_count	noncoding	95	-0.040957	none
RSDL.64	chr15:51276007-51276748:+	chr15	51276007	51276748	+	2	224	51276007-51276037,51276556-51276748	Gm62944	256710	0.0	1.1791075	3	2	low_count	noncoding	1		none
RSDL.70	chr18:5856990-5857761:+	chr18	5856990	5857761	+	2	165	5856990-5857062,5857670-5857761	Gm58432	33152	0.0	0.791615	2	2	low_count	coding	23	0.200126	none
RSDL.82	chr5:35362023-35365061:+	chr5	35362023	35365061	+	2	413	35362023-35362177,35364804-35365061	Gm40281	22059	0.0	0.7400535	3	2	low_count	coding	41	0.305336	none
