residual_id	locus_coord	chrom	start	end	strand	n_junctions	n_exons	length_nt	exon_structure	intron_structure	nearest_gene_name	nearest_distance_bp	control_max	control_n_detected	cohort	treat_sum	treat_n_detected	n_shared_site	status
RSDL.1	chr6:22510224-22525679:+	chr6	22510224	22525679	+	10	5	2791	22510224-22510421,22521529-22521637,22521733-22522015,22522935-22523134,22523679-22525679	22510422-22521528,22521638-22521732,22522016-22522934,22523135-22523678	Gm67965	70142.0	13	4	shared	126	4	5	unassembled
RSDL.2	chr17:44730868-44741645:+	chr17	44730868	44741645	+	10	4	4207	44730868-44732868,44734173-44734480,44738621-44738740,44739868-44741645	44732869-44734172,44734481-44738620,44738741-44739867	Gm65760	984.0	13	4	shared	124	4	6	unassembled
RSDL.3	GL456233.2:105707-134104:-	GL456233.2	105707	134104	-	9	8	2526	105707-107509,109040-109132,116593-116660,119837-119927,123936-124073,125548-125605,127390-127544,133985-134104	107510-109039,109133-116592,116661-119836,119928-123935,124074-125547,125606-127389,127545-133984			70	4	shared	1345	4	2	unassembled
RSDL.4	GL456233.2:251310-468997:+	GL456233.2	251310	468997	+	9	8	2337	251310-251452,354606-354787,394863-395039,409325-409604,422005-422124,460905-461141,467194-467332,467939-468997	251453-354605,354788-394862,395040-409324,409605-422004,422125-460904,461142-467193,467333-467938			22	4	shared	420	4	4	unassembled
RSDL.5	chr19:58121891-58131898:-	chr19	58121891	58131898	-	6	4	1097	58121891-58122710,58124939-58125037,58126570-58126638,58131790-58131898	58122711-58124938,58125038-58126569,58126639-58131789	Gm50287	38247.0	12	4	shared	58	4	2	unassembled
RSDL.6	chr1:182835049-182843973:-	chr1	182835049	182843973	-	6	6	3075	182835049-182836687,182837976-182838090,182839915-182840120,182840951-182841137,182841881-182842070,182843236-182843973	182836688-182837975,182838091-182839914,182840121-182840950,182841138-182841880,182842071-182843235	Disp1	1742.0	5	4	shared	28	3	1	unassembled
RSDL.7	chr1:10385123-10393856:+	chr1	10385123	10393856	+	6	3	2772	10385123-10385564,10386175-10386503,10391856-10393856	10385565-10386174,10386504-10391855	Gm70170	79234.0	6	4	shared	23	4	4	unassembled
RSDL.8	chr1:171725805-171736058:+	chr1	171725805	171736058	+	5	4	5632	171725805-171727794,171731294-171731394,171731880-171733419,171734058-171736058	171727795-171731293,171731395-171731879,171733420-171734057	Gm10521	1990.0	8	3	shared	33	4	3	unassembled
RSDL.9	JH584295.1:1-1973:-	JH584295.1	1	1973	-	4	5	810	1-109,565-633,708-752,972-1024,1440-1973	110-564,634-707,753-971,1025-1439			279	4	shared	2581	4	0	unassembled
RSDL.10	MU069434.1:1-7784:-	MU069434.1	1	7784	-	4	5	6241	1-1836,1888-2216,3521-4204,4305-7460,7549-7784	1837-1887,2217-3520,4205-4304,7461-7548			15	4	shared	84	4	0	unassembled
