gene_rank	locus_id	locus_coord	chrom	n_exons	length_nt	nearest_gene_name	nearest_distance_bp	treat_median_tpm	control_max_tpm	treat_n_detected	junction_support	longest_orf_aa	coding_score	coding_label	gene_score	gene_flags	phylop_mean	pfam_name	pfam_desc
1	RSDL.2	chr15:38474009-38478341:+	chr15	4	1359	Gm49077	40688	2.777545	3.146868	4	2,3,5	46	0.152623	coding	87.60947701647362	no_orf	-0.04253696709538		
2	RSDL.4	chr4:133241212-133245586:-	chr4	3	295	Nudc	13494	0.8855355	0.993471	2	4,3	43	0.036462	coding	87.13017288889253	no_orf	-0.030690033898305		
3	RSDL.34	chr16:45028532-45030684:-	chr16	2	597	Gm60499	34234	1.2330424999999998	1.451765	3	3	68	0.010499	coding	81.93447033220335				
4	RSDL.44	chr6:91624822-91627051:+	chr6	2	328	Slc6a6	33521	1.203465	2.680554	3	3	59	0.015527	coding	81.4753299217438		-0.0765457728658536		
5	RSDL.31	chr11:118262483-118265065:-	chr11	2	842	Lgals3bp	15650	0.7373335000000001	0.362792	3	3	60	0.141191	coding	81.19454209144203		-0.0062737674584323		
6	RSDL.47	chr8:122194578-122195251:+	chr8	2	458	Gm63857	14800	0.6777675	0.0	3	3	55	0.076857	coding	80.9202910586254		-0.1929352399563318		
7	RSDL.15	chr16:91760738-91761524:-	chr16	2	504	Gm60892	16199	1.3015265	0.0	3	4	54	0.261263	coding	80.90951501454263		-0.050923258015873		
8	RSDL.51	chr10:104763259-104763900:+	chr10	2	244	Gm25587	112233	0.5353135	0.0	2	2	66	0.378217	coding	78.35012444137256		0.0547508245901639		
9	RSDL.46	chr7:141376282-141377381:-	chr7	2	341	Tollip	51168	0.5188095	0.0	2	3	67	0.132293	coding	78.05900692960206		-0.0372266932551319		
10	RSDL.80	chr3:35085944-35087396:+	chr3	2	246	Gm66173	45351	0.5426975	1.191357	2	2	56	0.357447	coding	77.45659644398292		0.1300520048780488		
11	RSDL.3	chr15:13433526-13442734:-	chr15	2	287	Gm8238	14583	3.214604	8.51487	4	6	50	0.358976	coding	76.66387665564692		0.062172345261324		
12	RSDL.9	chr12:96832067-96841659:-	chr12	2	471	Gm6863	47537	1.2855835	3.680271	4	5	29	0.075545	coding	74.67704090631022	no_orf	-0.031879598275862		
13	RSDL.71	chr18:70503773-70522732:-	chr18	2	287	ENSMUSG00000127325	23297	0.616425	3.019874	2	2	26	0.220782	coding	74.3673186409297	no_orf	0.0078930027874564		
14	RSDL.82	chr5:35362023-35365061:+	chr5	2	413	Gm40281	22059	0.7400535	0.0	3	2	41	0.305336	coding	74.34360550810418	no_orf	0.0924082686198547		
15	RSDL.38	chr2:144186179-144187527:+	chr2	2	1187	Gm11700	10309	2.5838485	3.789831	4	3	171	-0.068616	noncoding	71.56325866528351		0.0533153431764705		
